slug,name,location,region,city,lat,lng,country,country_slug,url,day,time,distance,type
kalgoorlieboulder,Kalgoorlie-Boulder parkrun,Karlkurla Bushland Park,Western Australia,Kalgoorlie,-30.718868,121.456625,Australia,australia,https://www.parkrun.com.au/kalgoorlieboulder/,Saturday,,5 km,parkrun
kamay,Kamay parkrun,Yarra Bay Beach,New South Wales,Malabar,-33.97993,151.229992,Australia,australia,https://www.parkrun.com.au/kamay/,Saturday,,5 km,parkrun
kangarooisland,Kangaroo Island parkrun,Kingscote,South Australia,Kingscote,-35.655848,137.640473,Australia,australia,https://www.parkrun.com.au/kangarooisland/,Saturday,,5 km,parkrun
karkarook,Karkarook parkrun,Karkarook Park,Victoria,Oakleigh South,-37.940079,145.086858,Australia,australia,https://www.parkrun.com.au/karkarook/,Saturday,,5 km,parkrun
karoolapark,Karoola Park parkrun,Karoola Park,New South Wales,Muswellbrook,-32.255338,150.895351,Australia,australia,https://www.parkrun.com.au/karoolapark/,Saturday,,5 km,parkrun
katereed,Kate Reed parkrun,Kate Reed Recreation Area,Tasmania,Summerhill,-41.47567,147.138035,Australia,australia,https://www.parkrun.com.au/katereed/,Saturday,,5 km,parkrun
katherinehotsprings,Katherine Hot Springs parkrun,Katherine Hot Springs,Northern Territory,Katherine,-14.482484,132.254944,Australia,australia,https://www.parkrun.com.au/katherinehotsprings/,Saturday,,5 km,parkrun
kawana,Kawana parkrun,Kawana Surf Club,Queensland,Mooloolaba,-26.702046,153.135488,Australia,australia,https://www.parkrun.com.au/kawana/,Saturday,,5 km,parkrun
kedron,Kedron parkrun,Kedron,Queensland,Wavell Heights,-27.406927,153.046297,Australia,australia,https://www.parkrun.com.au/kedron/,Saturday,,5 km,parkrun
kelvingrove,Kelvin Grove parkrun,Bishop Street Park,Queensland,Wilston,-27.441334,153.009807,Australia,australia,https://www.parkrun.com.au/kelvingrove/,Saturday,,5 km,parkrun
kenningtonreservoir,Kennington Reservoir parkrun,Kennington Reservoir,Victoria,Kennington,-36.772141,144.312232,Australia,australia,https://www.parkrun.com.au/kenningtonreservoir/,Saturday,,5 km,parkrun
kerangregional,Kerang Regional parkrun,Kerang Regional Park,Victoria,Swan Hill,-35.730934,143.908707,Australia,australia,https://www.parkrun.com.au/kerangregional/,Saturday,,5 km,parkrun
